Car_ID,Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country
CAR_0001,Mercedes,2006,SUV,Petrol,Manual,4089,547,17,73407,USA
CAR_0002,Nissan,2023,Coupe,Petrol,Automatic,4618,167,25,79370,USA
CAR_0003,Nissan,2007,Hatchback,Diesel,Manual,1802,110,16,76549,China
CAR_0004,Nissan,2013,Coupe,Petrol,Manual,1835,373,16,48722,USA
CAR_0005,Hyundai,2009,Hatchback,Hybrid,Automatic,2332,145,28,83265,UK
CAR_0006,Tesla,2012,Coupe,Diesel,Automatic,2124,321,19,63134,UK
CAR_0007,Audi,2011,Hatchback,Petrol,Automatic,4527,342,29,74241,Japan
CAR_0008,Tesla,2016,SUV,Diesel,Automatic,1729,309,20,54364,China
CAR_0009,Audi,2017,Hatchback,Hybrid,Manual,1561,470,12,65750,Germany
CAR_0010,Honda,2020,Sedan,Electric,Manual,4254,116,17,8511,South Korea
CAR_0011,Ford,2025,Coupe,Petrol,Automatic,3426,339,17,22948,Japan
CAR_0012,Tesla,2009,Coupe,Diesel,Manual,1215,421,14,35738,Germany
CAR_0013,Tesla,2013,Pickup,Electric,Manual,4774,512,15,57947,China
CAR_0014,Audi,2019,Sedan,Petrol,Manual,3057,215,15,20195,Japan
CAR_0015,Audi,2013,Pickup,Electric,Manual,2637,308,27,100638,Germany
CAR_0016,Toyota,2020,SUV,Hybrid,Automatic,3384,126,30,109313,China
CAR_0017,BMW,2025,SUV,Petrol,Manual,1001,265,20,78610,China
CAR_0018,Tesla,2014,Coupe,Diesel,Automatic,3900,389,27,58073,Germany
CAR_0019,Nissan,2020,Sedan,Hybrid,Automatic,1603,165,17,56037,Japan
CAR_0020,Tesla,2013,Coupe,Hybrid,Automatic,4568,573,14,117420,Japan
CAR_0021,Audi,2010,SUV,Petrol,Automatic,4652,296,28,36761,China
CAR_0022,Toyota,2005,Sedan,Electric,Automatic,3287,349,18,104852,USA
CAR_0023,Kia,2013,Sedan,Hybrid,Manual,2294,507,14,111964,USA
CAR_0024,Tesla,2019,Coupe,Hybrid,Manual,1683,123,30,110968,South Korea
CAR_0025,BMW,2022,Coupe,Hybrid,Automatic,1235,115,29,48361,China
CAR_0026,Mercedes,2020,Coupe,Hybrid,Automatic,1361,335,30,113889,UK
CAR_0027,Nissan,2019,Coupe,Electric,Automatic,4439,273,15,51466,Japan
CAR_0028,BMW,2020,SUV,Hybrid,Automatic,3523,330,29,118590,South Korea
CAR_0029,Mercedes,2021,Sedan,Diesel,Manual,2041,484,16,116822,Germany
CAR_0030,BMW,2017,SUV,Electric,Manual,4776,350,26,57663,USA
CAR_0031,Honda,2014,Coupe,Electric,Manual,3935,437,29,36963,Japan
CAR_0032,Ford,2021,Sedan,Diesel,Automatic,3117,454,28,10169,USA
CAR_0033,Ford,2020,Hatchback,Electric,Automatic,4147,189,27,90223,Japan
CAR_0034,Audi,2006,Hatchback,Diesel,Automatic,1175,368,17,40145,China
CAR_0035,Kia,2012,Sedan,Diesel,Manual,2609,146,25,16605,Germany
CAR_0036,Tesla,2005,SUV,Hybrid,Manual,1169,453,21,26839,Germany
CAR_0037,Toyota,2007,Hatchback,Hybrid,Manual,2244,590,26,91023,UK
CAR_0038,Honda,2012,Pickup,Petrol,Automatic,3805,165,29,51724,South Korea
CAR_0039,Honda,2021,Pickup,Diesel,Manual,2051,250,24,107267,Japan
CAR_0040,Nissan,2024,Pickup,Diesel,Manual,4435,454,20,119093,Germany
CAR_0041,Audi,2008,SUV,Diesel,Automatic,4765,575,16,8260,USA
CAR_0042,Tesla,2021,SUV,Electric,Manual,4144,410,10,45140,USA
CAR_0043,Ford,2005,Hatchback,Electric,Automatic,2457,513,13,100791,China
CAR_0044,Kia,2013,Hatchback,Electric,Manual,2183,500,11,53199,Japan
CAR_0045,Ford,2020,Hatchback,Hybrid,Automatic,1247,572,30,49454,USA
CAR_0046,Toyota,2012,SUV,Diesel,Manual,1500,423,22,21924,Japan
CAR_0047,Ford,2025,Pickup,Petrol,Automatic,2721,426,13,74432,Japan
CAR_0048,BMW,2005,Coupe,Petrol,Manual,3047,271,14,47028,Japan
CAR_0049,Tesla,2018,Pickup,Hybrid,Manual,3219,597,14,76535,UK
CAR_0050,Hyundai,2021,SUV,Petrol,Automatic,4619,93,26,10305,Japan
CAR_0051,Ford,2012,Pickup,Diesel,Manual,2729,372,22,30006,China
